Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Checkout Blocks Rule Trigger (product.metafields.checkoutblocks.trigger),Activity (product.metafields.custom.activity),Badges (product.metafields.custom.badges),Buckle Color (product.metafields.custom.buckle_color),Buckle Material  (product.metafields.custom.buckle_material_),Buckle Width (product.metafields.custom.buckle_width),Bundle (product.metafields.custom.bundle),image with text - text (product.metafields.custom.image_with_text_text),Packs (product.metafields.custom.packs),Other (product.metafields.custom.product),Product Category (product.metafields.custom.product_category),Product Feature (product.metafields.custom.product_feature),Season (product.metafields.custom.season),Shipping (product.metafields.custom.shipping),Sock Color (product.metafields.custom.sock_color),Style (product.metafields.custom.sock_height),Buckle Style (product.metafields.custom.style),Video (product.metafields.custom.video),Warranty (product.metafields.custom.warranty),Wool Info (product.metafields.custom.wool_info),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Hidden Product (product.metafields.seo.hidden),Accessory size (product.metafields.shopify.accessory-size),Activity (product.metafields.shopify.activity),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / Brunei,Price / Brunei,Compare At Price / Brunei,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Status
tactical-black-lightweight-boot-sock-merino-wool,,,,,,,,,LG,,,,,,,,S-TACT-LW-BOOT-BLK-LG,80.0,shopify,274,deny,manual,29.00,,true,true,'194794145297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,PC040148,,,,,,,,,,,,,,
tactical-black-lightweight-boot-sock-merino-wool,,,,,,,,,XL,,,,,,,,S-TACT-LW-BOOT-BLK-XL,80.0,shopify,129,deny,manual,29.00,,true,true,'194794145303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,PC040148,,,,,,,,,,,,,,
tarmac-run-1-4-crew-lightweight-merino-wool-sock,Tarmac - Run 1/4 Crew Runweight Merino Wool Sock,"<p dir=""auto""><meta charset=""utf-8"">The Tarmac Runweight Merino Wool Sock is tailor made for runners. It has everything you need and nothing you don't. It starts with a premium quality merino wool (41%), knitted to a form fitting nylon (55%) core. Then we add zoned elastic support (4%) in key areas for optimal fit and performance.  The Wave is a 1/4 crew sock, designed to provide comfort and a barrier of protection between you and your shoes. Our  <strong>StrongStrut®</strong> arch support provides arch support while eliminating blister causing slippage and our  <strong>FreeVent®</strong> airflow design works to keep the your foot dry in the area it needs it most. Wool is naturally moisture-wicking and odor-resistant. <strong>USA-Made, </strong><strong>lifetime warranty.</strong></p>",GRIP6,Apparel & Accessories > Clothing > Socks,Run,"",true,Size,sm,product.metafields.shopify.accessory-size,,,,,,,TARMAC-SM-LW,68.0388555,shopify,61,deny,manual,19.00,,true,true,'194794145143,https://cdn.shopify.com/s/files/1/1310/9209/files/Tarmac_Hero_b08b7ca2-adb6-4c4e-b2cc-6df6099451e2.jpg?v=1752859990,1,"",false,Tarmac - Run 1/4 Crew Runweight Merino Wool Sock by GRIP6,"GRIP6 Tarmac Merino Wool Sock: Lightweight 1/4 crew-height running sock with seamless toe, Strong Strut arch support, and Free Vent zones for ultimate comfort in every adventure!",209,,,,,,,,,,,,,,,,,,,,,Socks,why-our-crew,,,,1/4 Crew,,,our-warranty,wool-info,,,,sm; md; lg; xl,running,moisture-wicking,,merino; wool; nylon,unisex,,,,,,oz,,4.00,true,,,true,,,true,,,true,,,active
tarmac-run-1-4-crew-lightweight-merino-wool-sock,,,,,,,,,md,,,,,,,,TARMAC-MD-LW,1133.980925,shopify,92,deny,manual,19.00,,true,true,'194794145150,https://cdn.shopify.com/s/files/1/1310/9209/files/TarmacMidfoot_1.jpg?v=1752859990,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,,,,
tarmac-run-1-4-crew-lightweight-merino-wool-sock,,,,,,,,,lg,,,,,,,,TARMAC-LG-LW,1224.699399,shopify,259,deny,manual,19.00,,true,true,'194794145167,https://cdn.shopify.com/s/files/1/1310/9209/files/TarmacEdgeLogo_1.jpg?v=1752859990,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,,,,
tarmac-run-1-4-crew-lightweight-merino-wool-sock,,,,,,,,,xl,,,,,,,,TARMAC-XL-LW,1270.058636,shopify,12,deny,manual,19.00,,true,true,'194794145174,https://cdn.shopify.com/s/files/1/1310/9209/files/TarmacToebox_1.jpg?v=1752859990,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,,,,
tarmac-run-1-4-crew-lightweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/TarmacIn-step_1.jpg?v=1752859990,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tarmac-run-1-4-crew-lightweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/TarmacYSeam_1.jpg?v=1752859990,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torch-run-1-4-crew-midweight-merino-wool-sock,Torch - Run 1/4 Crew Midweight Merino Wool Sock,"<p dir=""auto""><meta charset=""utf-8"">The Torch Midweight Merino Wool Sock is tailor made for runners. It has everything you need and nothing you don't. It starts with a premium quality merino wool (41%), knitted to a form fitting nylon (55%) core. Then we add zoned elastic support (4%) in key areas for optimal fit and performance.  The Torch is a 1/4 crew sock, designed to provide comfort and a barrier of protection between you and your shoes. Our  <strong>StrongStrut®</strong> arch support provides arch support while eliminating blister causing slippage and our  <strong>FreeVent®</strong> airflow design works to keep the your foot dry in the area it needs it most. Wool is naturally moisture-wicking and odor-resistant. <strong>USA-Made, </strong><strong>lifetime warranty.</strong></p>",GRIP6,Apparel & Accessories > Clothing > Socks,Run,"",true,Size,sm,product.metafields.shopify.accessory-size,,,,,,,TORCH-SM-MW,68.0388555,shopify,66,deny,manual,19.00,,true,true,'194794145105,https://cdn.shopify.com/s/files/1/1310/9209/files/Torch_Hero.jpg?v=1753114205,1,"",false,Torch - Run 1/4 Crew Midweight Merino Wool Sock by GRIP6,"GRIP6 Torch Merino Wool Sock: Lightweight 1/4 crew-height running sock with seamless toe, Strong Strut arch support, and Free Vent zones for ultimate comfort in every adventure!",209,,,,,,,,,,,,,,,,,,,,,Socks,why-our-crew,,,,1/4 Crew,,,our-warranty,wool-info,,,,sm; md; lg; xl,hiking,moisture-wicking,,merino; wool; nylon,unisex,,,,,,oz,,4.00,true,,,true,,,true,,,true,,,active
torch-run-1-4-crew-midweight-merino-wool-sock,,,,,,,,,md,,,,,,,,TORCH-MD-MW,1133.980925,shopify,235,deny,manual,19.00,,true,true,'194794145112,https://cdn.shopify.com/s/files/1/1310/9209/files/TorchMidfoot_1.jpg?v=1752860025,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,,,,
torch-run-1-4-crew-midweight-merino-wool-sock,,,,,,,,,lg,,,,,,,,TORCH-LG-MW,1224.699399,shopify,209,deny,manual,19.00,,true,true,'194794145129,https://cdn.shopify.com/s/files/1/1310/9209/files/TorchEdgeLogo_1.jpg?v=1752860025,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,,,,
torch-run-1-4-crew-midweight-merino-wool-sock,,,,,,,,,xl,,,,,,,,TORCH-XL-MW,1270.058636,shopify,62,deny,manual,19.00,,true,true,'194794145136,https://cdn.shopify.com/s/files/1/1310/9209/files/TorchIn-Step_1.jpg?v=1752860025,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,,,,
torch-run-1-4-crew-midweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/TorchToebox_1.jpg?v=1752860025,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torch-run-1-4-crew-midweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/TorchYSeam_1.jpg?v=1752860025,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruby-run-ankle-midweight-merino-wool-sock,Ruby - Run Ankle Midweight Merino Wool Sock,"<p dir=""ltr"" data-pm-slice=""1 1 []"">The Ruby Midweight Merino Wool Sock is an absolute workhorse. Don't let it's low profile design fool you, this thing is built for all-day performance and comfort whether you're on the trail or the job. It starts with a premium quality merino wool (45%), knitted to a form fitting nylon (49%) core. Then we add zoned elastic support (6%) in key areas for optimal fit and performance.   The Emerald is designed with a low profile waffle-knit cuff that sit's just above the shoe line to provide optimal protection from your shoes. Our  <strong>StrongStrut®</strong> arch support provides arch support while eliminating blister causing slippage and our  <strong>FreeVent®</strong> airflow design works to keep the your foot dry in the area it needs it most. Wool is naturally moisture-wicking and odor-resistant. <strong>USA-Made, </strong><strong>lifetime warranty.</strong></p>",GRIP6,Apparel & Accessories > Clothing > Socks,Run,ankle,true,Size,sm,product.metafields.shopify.accessory-size,,,,,,,RUBY-SM-MW,53.8640939375,shopify,97,deny,manual,18.00,,true,true,'194794145228,https://cdn.shopify.com/s/files/1/1310/9209/files/Ruby.jpg?v=1751993200,1,"",false,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,Ankle,,,,,,,,sm; md; lg; xl,running,moisture-wicking,,merino; nylon; wool,unisex,,,,,,oz,,3.00,true,,,true,,,true,,,true,,,active
ruby-run-ankle-midweight-merino-wool-sock,,,,,,,,,md,,,,,,,,RUBY-MD-MW,56.69904625,shopify,181,deny,manual,18.00,,true,true,'194794145235,https://cdn.shopify.com/s/files/1/1310/9209/files/RubyInside-out.jpg?v=1751993205,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
ruby-run-ankle-midweight-merino-wool-sock,,,,,,,,,lg,,,,,,,,RUBY-LG-MW,59.5339985625,shopify,343,deny,manual,18.00,,true,true,'194794145242,https://cdn.shopify.com/s/files/1/1310/9209/files/RubyEdgeLogo.jpg?v=1751993212,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
ruby-run-ankle-midweight-merino-wool-sock,,,,,,,,,xl,,,,,,,,RUBY-XL-MW,62.368950875,shopify,27,deny,manual,18.00,,true,true,'194794145259,https://cdn.shopify.com/s/files/1/1310/9209/files/RubyMidfoot.jpg?v=1751993215,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,3.00,,,,,,,,,,,,,
ruby-run-ankle-midweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/RubyYSeam.jpg?v=1751993221,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruby-run-ankle-midweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/RubyToebox.jpg?v=1751993226,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wave-run-quarter-crew-lightweight-merino-wool-sock,Wave - Run 1/4 Crew Lightweight Merino Wool Sock,"<p dir=""auto""><meta charset=""utf-8"">The Wave Runweight Merino Wool Sock is tailor made for runners. It has everything you need and nothing you don't. It starts with a premium quality merino wool (41%), knitted to a form fitting nylon (55%) core. Then we add zoned elastic support (4%) in key areas for optimal fit and performance.  The Wave is a 1/4 crew sock, designed to provide comfort and a barrier of protection between you and your shoes. Our  <strong>StrongStrut®</strong> arch support provides arch support while eliminating blister causing slippage and our  <strong>FreeVent®</strong> airflow design works to keep the your foot dry in the area it needs it most. Wool is naturally moisture-wicking and odor-resistant. <strong>USA-Made, </strong><strong>lifetime warranty.</strong></p>",GRIP6,Apparel & Accessories > Clothing > Socks,Run,"",true,Size,sm,product.metafields.shopify.accessory-size,,,,,,,WAVE-SM-LW,68.0388555,shopify,94,deny,manual,19.00,,true,true,'194794145181,https://cdn.shopify.com/s/files/1/1310/9209/files/Wave_1.jpg?v=1752369118,1,"",false,Wave - Run 1/4 Crew Lightweight Merino Wool Sock by GRIP6,"GRIP6 Wave Merino Wool Sock: Lightweight 1/4 crew-height running sock with seamless toe, Strong Strut arch support, and Free Vent zones for ultimate comfort in every adventure!",209,,,,,,,,,,,,,,,,,,,,,Socks,why-our-crew,,,,1/4 Crew,,,our-warranty,wool-info,,,,sm; md; lg; xl,hiking,moisture-wicking,,merino; wool; nylon,unisex,,,,,,oz,,4.00,true,,,true,,,true,,,true,,,active
wave-run-quarter-crew-lightweight-merino-wool-sock,,,,,,,,,md,,,,,,,,WAVE-MD-LW,1133.980925,shopify,197,deny,manual,19.00,,true,true,'194794145198,https://cdn.shopify.com/s/files/1/1310/9209/files/WaveInside-out_1.jpg?v=1752369122,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,,,,
wave-run-quarter-crew-lightweight-merino-wool-sock,,,,,,,,,lg,,,,,,,,WAVE-LG-LW,1224.699399,shopify,204,deny,manual,19.00,,true,true,'194794145204,https://cdn.shopify.com/s/files/1/1310/9209/files/WaveMidfoot_1.jpg?v=1752369228,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,,,,
wave-run-quarter-crew-lightweight-merino-wool-sock,,,,,,,,,xl,,,,,,,,WAVE-XL-LW,1270.058636,shopify,36,deny,manual,19.00,,true,true,'194794145211,https://cdn.shopify.com/s/files/1/1310/9209/files/WaveEdgeLogo_1.jpg?v=1752369228,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,,,,,,
wave-run-quarter-crew-lightweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/WaveIn-Step_1.jpg?v=1752369228,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wave-run-quarter-crew-lightweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/WaveToebox_1.jpg?v=1752369225,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wave-run-quarter-crew-lightweight-merino-wool-sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/WaveYSeam_1.jpg?v=1752369225,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campfire-hike-crew-lightweight-merino-wool-sock-copy,Campfire - Hike Crew Lightweight Merino Wool Copy,"<p><meta charset=""utf-8""><span>Our Campfire Merino Wool Sock is the ideal companion for your summer adventures.  Made with 53% merino wool, 41% nylon, and 6% elastane, this 10"" crew height offers warmth and protection from both footwear and the elements, and our lightweight cushion profile puts the padding in the areas where your foot needs it most. By removing the cushion in the mid-foot area, we create a sock that is more efficient in regulating heat and moisture for those hot days on the trail. With seamless toes, <strong>StrongStrut®</strong> arch-support, and  <strong>FreeVent®</strong> zones that provide enhanced breathability and moisture management, this sock is the ideal daily driver for those who depend on their feet.  Moisture-wicking, odor-resistant, and <strong>USA-Made </strong>with a<strong> lifetime warranty. </strong></span></p>",GRIP6,Uncategorized,"",dealeasy,true,Size,sm,product.metafields.shopify.accessory-size,,,,,,,CAMPFIRE-SM-LW,68.0388555,shopify,2223,deny,manual,23.00,,true,true,'194794144108,https://cdn.shopify.com/s/files/1/1310/9209/files/CampfireHero.jpg?v=1748612998,1,"",false,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,Crew,,,,,,'2,,sm; md; lg; xl,hiking,moisture-wicking,campfire,merino; nylon; wool,unisex,,,,,,oz,,4.00,true,,,true,,,true,,,true,,,active
campfire-hike-crew-lightweight-merino-wool-sock-copy,,,,,,,,,md,,,,,,,,CAMPFIRE-MD-LW,70.8738078125,shopify,326,deny,manual,23.00,,true,true,'194794144115,https://cdn.shopify.com/s/files/1/1310/9209/files/CampfireUndertheHood.jpg?v=1748612998,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,4.00,,,,,,,,,,,,,
